"app_rating","content_rating"
4.1,"Everyone"
3.9,"Everyone"
4.7,"Everyone"
4.5,"Teen"
4.3,"Everyone"
4.4,"Everyone"
3.8,"Everyone"
4.1,"Everyone"
4.4,"Everyone"
4.7,"Everyone"
4.4,"Everyone"
4.4,"Everyone"
4.2,"Teen"
4.6,"Everyone"
4.4,"Everyone"
3.2,"Everyone"
4.7,"Everyone"
4.5,"Everyone"
4.3,"Everyone"
4.6,"Everyone"
4,"Everyone"
4.1,"Everyone"
4.7,"Everyone 10+"
4.7,"Everyone"
4.8,"Everyone"
4.7,"Everyone"
4.1,"Everyone"
3.9,"Everyone"
4.1,"Everyone"
4.2,"Everyone"
4.1,"Everyone"
4.5,"Everyone"
4.2,"Everyone"
4.7,"Teen"
3.8,"Everyone"
4.7,"Everyone"
4.1,"Everyone"
4.7,"Everyone"
4,"Everyone"
4.2,"Everyone"
4.5,"Everyone"
4.4,"Everyone"
3.8,"Everyone"
4.2,"Everyone"
4.7,"Everyone"
4.6,"Everyone"
4.2,"Everyone"
4.3,"Everyone"
4.2,"Everyone"
4,"Everyone"
3.8,"Everyone"
4.6,"Everyone"
3.9,"Everyone"
4.3,"Everyone"
4.9,"Everyone"
4.4,"Everyone"
4.2,"Everyone"
4,"Everyone"
3.9,"Everyone"
4.6,"Everyone"
4.9,"Everyone"
4.3,"Everyone"
4.6,"Everyone"
4.9,"Everyone"
3.9,"Everyone"
4,"Everyone"
4.3,"Everyone"
3.9,"Everyone"
4.2,"Everyone"
4.8,"Everyone"
3.6,"Everyone"
4.2,"Teen"
4.8,"Everyone"
4.8,"Everyone"
4.6,"Everyone"
4.5,"Everyone"
4.3,"Everyone 10+"
4.5,"Everyone"
4.9,"Everyone"
3.9,"Everyone"
4.4,"Everyone"
4,"Everyone"
4.3,"Everyone"
3.7,"Everyone"
4.4,"Everyone"
4.3,"Everyone"
3.2,"Everyone"
4.6,"Everyone"
4.6,"Everyone"
4.5,"Everyone"
3.7,"Everyone"
4.6,"Everyone"
4.6,"Everyone"
4.6,"Everyone"
4,"Everyone"
4.4,"Everyone"
4,"Everyone"
4.7,"Everyone"
4.9,"Everyone"
4.7,"Everyone"
3.9,"Everyone"
3.9,"Everyone"
4.2,"Everyone"
4.6,"Everyone"
4.3,"Everyone"
4.7,"Everyone"
4.7,"Everyone"
4.8,"Everyone"
4.2,"Everyone"
4.3,"Everyone"
4.5,"Everyone"
4.1,"Teen"
4.2,"Everyone"
4.5,"Everyone"
4.4,"Everyone"
4,"Everyone"
4.1,"Everyone"
4.1,"Everyone"
4.4,"Everyone"
4.6,"Everyone"
4.5,"Everyone"
3.9,"Everyone"
4.4,"Everyone"
4.6,"Everyone"
3.8,"Everyone"
4,"Everyone"
4.3,"Everyone"
4.5,"Mature 17+"
4.1,"Everyone"
3.7,"Everyone"
4.7,"Everyone"
4.2,"Everyone"
4.6,"Teen"
4.5,"Everyone"
4.6,"Everyone 10+"
4.4,"Everyone"
4.2,"Teen"
4.5,"Everyone"
4.5,"Everyone"
4.5,"Teen"
4.5,"Everyone"
4.4,"Teen"
4.5,"Everyone"
4.6,"Everyone"
4.8,"Teen"
3.9,"Teen"
4.6,"Everyone"
4.2,"Everyone"
4.1,"Everyone"
4.7,"Everyone"
4.2,"Teen"
4.3,"Everyone"
3.3,"Everyone"
4.6,"Everyone"
4.8,"Everyone"
4.7,"Everyone"
4.1,"Everyone"
4.6,"Teen"
4.1,"Mature 17+"
4.6,"Everyone"
4.7,"Everyone"
4.5,"Everyone"
3.9,"Mature 17+"
4.4,"Everyone"
4.3,"Everyone"
4.2,"Everyone"
4.5,"Everyone"
4.4,"Everyone"
3.4,"Everyone"
4.9,"Everyone"
4.6,"Everyone"
4.4,"Everyone"
4.4,"Everyone"
4.4,"Everyone"
4.4,"Everyone"
3.5,"Everyone"
4.4,"Everyone 10+"
4.1,"Everyone"
4.3,"Everyone"
4.4,"Everyone"
4.3,"Everyone"
4.3,"Everyone"
4.1,"Everyone"
4.4,"Everyone"
4.3,"Everyone"
3.9,"Everyone"
4.8,"Everyone"
4.5,"Everyone"
4.4,"Everyone"
4,"Everyone"
4.3,"Everyone"
4,"Everyone"
4.2,"Everyone"
4.5,"Everyone"
4.2,"Everyone"
4.2,"Everyone"
4.6,"Everyone"
4.1,"Everyone"
4.6,"Everyone"
3.1,"Everyone"
3.9,"Everyone"
4.3,"Everyone"
4.1,"Everyone"
4.4,"Everyone"
4.1,"Everyone"
4.1,"Everyone"
4.5,"Everyone"
4.4,"Everyone"
4.4,"Everyone"
4.3,"Everyone"
4.4,"Everyone"
4.6,"Everyone"
4.2,"Everyone"
4.4,"Everyone"
4.7,"Everyone"
3.8,"Everyone"
3.9,"Everyone"
4.3,"Everyone"
4.2,"Everyone"
4.4,"Everyone"
4.7,"Everyone"
4.5,"Everyone"
4.2,"Everyone"
4.7,"Everyone"
4.8,"Everyone"
4.2,"Everyone"
4.2,"Everyone"
4.3,"Everyone"
4.4,"Everyone"
4.4,"Everyone"
4.1,"Everyone"
3.8,"Everyone"
4.3,"Everyone"
3.8,"Everyone"
3.5,"Everyone"
4.1,"Everyone"
4.6,"Everyone"
4.3,"Everyone"
4.5,"Everyone"
