"app_id","rating_count_tot","rating_count_ver","avg_rating_tot","avg_rating_ver","diff_rating_ver"
281656475,21292,26,4,4.5,0.5
281796108,161065,26,4,3.5,-0.5
281940292,188583,2822,3.5,4.5,1
282614216,262241,649,4,4.5,0.5
282935706,985920,5320,4.5,5,0.5
283619399,8253,5516,4,4,0
283646709,119487,879,4,4.5,0.5
284035177,1126879,3594,4,4.5,0.5
284666222,1117,4,4.5,5,0.5
284736660,7885,40,4,4,0
284791396,76720,4017,4.5,4.5,0
284815117,105776,166,3.5,2.5,-1
284815942,479440,203,3.5,4,0.5
284847138,119773,2336,3.5,4.5,1
284862767,6340,668,4.5,4.5,0
284876795,56194,87,4,3.5,-0.5
284882215,2974676,212,3.5,3.5,0
284910350,223885,3726,4,4.5,0.5
284993459,402925,136,4,4.5,0.5
285005463,31456,4178,4,3.5,-0.5
285946052,2929,966,4.5,4.5,0
285994151,11447,781,5,5,0
286058814,137951,131,4,4.5,0.5
286070473,8,0,4.5,0,-4.5
286799607,3241,297,4,4,0
286906691,5795,12,3.5,4,0.5
286911400,42316,248,3,3.5,0.5
288113403,123215,25,3.5,5,1.5
288120394,782,7,4,3.5,-0.5
288419283,3449,23,4,4.5,0.5
288429040,71856,62,3.5,4.5,1
289084315,13350,489,4.5,5,0.5
289446241,137,0,3,0,-3
289523017,180087,1101,3.5,4.5,1
289894882,33426,299,4,5,1
290638154,293228,110,4,3,-1
290807369,21609,69,3.5,2.5,-1
290986013,4684,10,4,4,0
291430598,2104,0,4.5,0,-4.5
292421271,41633,6,4,3,-1
292628469,3610,7,4.5,5,0.5
292738169,4677,12,3,4,1
293118835,30,0,3.5,0,-3.5
293523031,48905,2691,4.5,4.5,0
293573778,32,0,3,0,-3
293622097,446185,1359,3.5,3.5,0
293760823,21825,10,3,4,1
293778748,508808,99,3,4.5,1.5
294056623,57500,103,3,4,1
294536447,2576,4,4,5,1
294631159,1572,34,4,4.5,0.5
294934058,3292,2,3,5,2
295430577,8932,55,4.5,5,0.5
295646461,495626,5893,3.5,4.5,1
295759189,812,14,3,4,1
295775656,1583,2,3.5,4.5,1
296581815,113936,150,4.5,5,0.5
297244048,2027,2,4,5,1
297332787,768,4,4,4,0
297368629,373835,402,4,4.5,0.5
297430070,108131,13,3,2,-1
297606726,18943,1787,3.5,4.5,1
297606951,126312,22,3.5,3,-0.5
297694601,35735,378,4,4.5,0.5
298127110,410,7,3,2.5,-0.5
298206806,1390,143,4.5,5,0.5
298596830,38,2,3.5,5,1.5
298867247,233270,14625,4.5,4.5,0
299029654,64,0,4.5,0,-4.5
299515267,109349,1540,3.5,5,1.5
299853944,2229,4,3.5,1,-2.5
299949744,14970,24,3.5,4.5,1
300048137,144214,2162,3.5,4,0.5
300238550,232940,683,4,4.5,0.5
300255638,48407,20,3,3.5,0.5
300265786,5531,37,3.5,2.5,-1
300590611,3393,77,4,4,0
300704847,65016,274,3.5,5,1.5
301387274,187529,1071,4,4,0
301521403,33969,466,3.5,5,1.5
301724680,48822,193,3.5,4,0.5
302049354,59155,101,4.5,2.5,-2
302584613,252076,80,3.5,4.5,1
303058767,4913,1,4,4,0
303191318,1744,0,3.5,0,-3.5
303337299,16567,1155,4.5,4.5,0
303849934,187315,9,2,4,2
304731501,4781,1,4.5,5,0.5
304770340,94,4,4.5,4.5,0
304871603,29554,55,4,5,1
304871622,32988,2489,4,4,0
304878510,373519,127,3.5,4,0.5
305343404,334293,919,4,4,0
305557780,2302,3,3.5,5,1.5
305939712,60659,57,3,2.5,-0.5
306169895,2562,10,4,4.5,0.5
306257910,3042,6,3.5,4,0.5
306375551,338,12,2.5,2,-0.5
306468004,16434,3,4.5,4.5,0
306561234,10046,7,4.5,5,0.5
306621789,29107,85,3,4,1
306628397,878,48,4,4.5,0.5
306937053,1140,20,3.5,3.5,0
307132353,35074,403,4.5,4,-0.5
307184892,59639,11,3,2.5,-0.5
307219387,2913,357,4,5,1
307354030,39722,0,3,0,-3
307386350,81006,25,3.5,3,-0.5
307569751,53465,204,3.5,4,0.5
307727765,395261,88,4.5,4.5,0
307741537,2021,147,4.5,4.5,0
307764057,182,0,3,0,-3
307906541,291787,589,4,5,1
308111628,2441,4,4,5,1
308339980,1372,25,4,4,0
308368164,773,10,4,3.5,-0.5
308750436,200047,177,4,4,0
308834491,112,0,3.5,0,-3.5
309025938,148160,63,4.5,3.5,-1
309172177,108507,628,3,3,0
309187846,46,0,3,0,-3
309465525,51427,874,4,5,1
309527804,53821,165,3.5,4,0.5
309735670,38681,563,4,4.5,0.5
310303959,17776,6,4,5,1
310633997,287589,73088,4.5,4.5,0
310636441,7308,15,4,4.5,0.5
310738695,342969,88478,4.5,4.5,0
310951782,6093,3,4,5,1
